City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Carutapera,BR,2020-11-23 21:42:38,-1.2,-46.02,76.15,92,100,3.94
61,Bethel,US,2020-11-23 21:28:10,41.37,-73.41,44.01,52,20,11.41
62,Hobart,AU,2020-11-23 21:28:47,-42.88,147.33,57.2,67,75,8.05
63,Makat,KZ,2020-11-23 21:42:39,47.65,53.35,30.43,94,100,8.7
64,Cumra,TR,2020-11-23 21:42:39,37.57,32.77,28.4,86,0,1.25
65,Guerrero Negro,MX,2020-11-23 21:42:39,27.98,-114.06,69.35,62,25,13.22
66,Deputatskiy,RU,2020-11-23 21:42:39,69.3,139.9,-8.36,91,100,7.38
67,Port Alfred,ZA,2020-11-23 21:33:04,-33.59,26.89,66.13,79,95,12.35
68,Inirida,CO,2020-11-23 21:42:39,3.87,-67.92,80.22,88,56,3.69
69,Kununurra,AU,2020-11-23 21:33:13,-15.77,128.73,78.8,94,99,1.12
70,Presidente Olegario,BR,2020-11-23 21:42:40,-18.42,-46.42,71.01,100,35,4.0
71,Samarai,PG,2020-11-23 21:33:23,-10.62,150.67,82.22,78,17,12.01
72,Puerto Ayora,EC,2020-11-23 21:32:55,-0.74,-90.35,77.0,73,75,13.87
73,Ekibastuz,KZ,2020-11-23 21:42:40,51.67,75.37,15.01,97,100,3.04
74,Cabo San Lucas,MX,2020-11-23 21:30:37,22.89,-109.91,84.99,54,5,9.17
75,Taguatinga,BR,2020-11-23 21:42:40,-12.39,-46.57,76.73,78,100,5.64
76,High Level,CA,2020-11-23 21:42:40,58.52,-117.14,3.2,91,75,3.36
77,Norman Wells,CA,2020-11-23 21:33:21,65.28,-126.83,6.8,77,20,8.05
78,Sisimiut,GL,2020-11-23 21:33:33,66.94,-53.67,18.07,88,100,20.8
79,South Lake Tahoe,US,2020-11-23 21:42:40,38.93,-119.98,51.8,42,1,4.7
80,Georgetown,MY,2020-11-23 21:28:11,5.41,100.34,78.01,88,20,3.36
81,Lagoa,PT,2020-11-23 21:32:55,39.05,-27.98,62.62,81,12,16.11
82,Leh,IN,2020-11-23 21:42:41,34.17,77.58,23.97,86,99,4.94
83,Bijar,IR,2020-11-23 21:42:41,35.87,47.61,35.08,87,1,2.95
84,Itaituba,BR,2020-11-23 21:42:41,-4.28,-55.98,80.6,94,20,5.82
85,Lagos,NG,2020-11-23 21:42:41,6.58,3.75,79.25,87,21,5.39
86,Geraldton,AU,2020-11-23 21:33:16,-28.77,114.6,62.6,72,0,3.36
87,Sola,VU,2020-11-23 21:33:05,-13.88,167.55,82.4,83,90,8.05
88,Mecca,SA,2020-11-23 21:42:42,21.43,39.83,73.76,68,0,3.49
89,Faxinal,BR,2020-11-23 21:42:42,-24.0,-51.32,69.28,54,0,5.57
90,Gaozhou,CN,2020-11-23 21:42:42,21.94,110.85,66.76,80,21,4.18
91,Iqaluit,CA,2020-11-23 21:29:19,63.75,-68.51,-0.4,77,75,12.75
92,Namibe,AO,2020-11-23 21:33:47,-15.2,12.15,68.34,76,34,6.58
93,Samana,DO,2020-11-23 21:42:42,19.21,-69.34,80.6,94,75,3.24
94,Katsuura,JP,2020-11-23 21:42:42,35.13,140.3,54.0,46,75,18.34
95,Coihaique,CL,2020-11-23 21:42:42,-45.58,-72.07,48.2,70,75,8.05
96,Piterka,RU,2020-11-23 21:42:43,50.68,47.45,27.52,98,94,10.65
97,Havre-Saint-Pierre,CA,2020-11-23 21:42:43,50.23,-63.6,32.0,96,90,13.87
98,Qaanaaq,GL,2020-11-23 21:32:51,77.48,-69.36,6.85,83,100,5.06
99,Port Hardy,CA,2020-11-23 21:42:43,50.7,-127.42,46.4,81,90,6.93
100,Crawfordsville,US,2020-11-23 21:39:20,40.04,-86.87,46.4,68,1,3.51
101,Bambous Virieux,MU,2020-11-23 21:33:19,-20.34,57.76,73.99,94,75,4.7
102,New Norfolk,AU,2020-11-23 21:32:45,-42.78,147.06,57.99,69,75,3.13
103,Souillac,MU,2020-11-23 21:32:53,-20.52,57.52,73.4,94,75,4.7
104,Omaruru,NA,2020-11-23 21:42:44,-21.43,15.93,66.25,28,48,5.64
105,Kupang,ID,2020-11-23 21:33:10,-10.17,123.58,75.2,94,20,4.27
106,Buraydah,SA,2020-11-23 21:42:44,26.33,43.98,59.0,62,0,4.7
107,Udachnyy,RU,2020-11-23 21:33:31,66.42,112.4,6.8,92,90,6.71
108,Myitkyina,MM,2020-11-23 21:42:44,25.38,97.4,59.79,85,0,2.33
109,Ponta Do Sol,PT,2020-11-23 21:32:51,32.67,-17.1,64.4,77,20,5.82
110,Port Elizabeth,ZA,2020-11-23 21:33:13,-33.92,25.57,62.6,88,86,13.87
111,Arraial Do Cabo,BR,2020-11-23 21:32:53,-22.97,-42.03,73.4,88,75,5.82
112,Saint-Philippe,RE,2020-11-23 21:33:07,-21.36,55.77,71.6,56,75,5.82
113,Basiad,PH,2020-11-23 21:42:45,14.16,122.34,77.32,85,100,15.41
114,Remanso,BR,2020-11-23 21:42:45,-9.62,-42.08,79.5,61,65,6.4
115,Okha,RU,2020-11-23 21:42:45,53.57,142.95,18.18,96,75,18.32
116,Sabla,NG,2020-11-23 21:42:45,12.75,4.71,77.07,25,0,6.33
117,Salalah,OM,2020-11-23 21:33:15,17.02,54.09,80.6,69,0,3.36
118,Busselton,AU,2020-11-23 21:42:45,-33.65,115.33,66.0,37,0,5.75
119,Alta Gracia,AR,2020-11-23 21:42:46,-31.65,-64.43,99.0,24,0,23.0
120,Aquin,HT,2020-11-23 21:42:46,18.28,-73.4,79.65,78,60,4.07
121,Lorengau,PG,2020-11-23 21:33:03,-2.02,147.27,84.33,69,100,8.72
122,Hamilton,US,2020-11-23 21:30:02,39.18,-84.53,48.99,49,40,5.82
123,Porto Novo,BJ,2020-11-23 21:42:46,6.5,2.6,80.29,84,0,8.37
124,Muros,ES,2020-11-23 21:33:16,42.78,-9.06,55.99,87,0,4.7
125,Dikson,RU,2020-11-23 21:33:16,73.51,80.55,9.25,95,100,17.69
126,San Cristobal,VE,2020-11-23 21:33:34,7.77,-72.22,86.0,66,40,8.05
127,Avarua,CK,2020-11-23 21:32:48,-21.21,-159.78,80.6,74,97,4.7
128,Kieta,PG,2020-11-23 21:42:47,-6.22,155.63,83.68,70,100,1.28
129,Laguna,US,2020-11-23 21:42:47,38.42,-121.42,64.99,39,1,8.05
130,Tasiilaq,GL,2020-11-23 21:32:52,65.61,-37.64,24.8,68,100,2.24
131,Yulara,AU,2020-11-23 21:33:22,-25.24,130.99,73.4,31,47,10.29
132,Kodiak,US,2020-11-23 21:32:54,57.79,-152.41,37.4,86,90,19.46
133,Innisfail,AU,2020-11-23 21:42:47,-17.53,146.03,77.0,65,56,1.01
134,Maizuru,JP,2020-11-23 21:42:47,35.45,135.33,45.0,90,78,7.18
135,Roseburg,US,2020-11-23 21:42:45,43.22,-123.34,48.2,87,90,5.82
136,Sabya,SA,2020-11-23 21:42:48,17.15,42.63,82.4,74,0,3.36
137,Shache,CN,2020-11-23 21:33:50,38.42,77.24,12.74,85,30,1.45
138,Monte Alegre,BR,2020-11-23 21:42:48,-2.01,-54.07,79.57,84,29,3.62
139,Derazhnya,UA,2020-11-23 21:42:48,49.27,27.43,38.34,78,100,15.97
140,Aykhal,RU,2020-11-23 21:32:53,66.0,111.5,6.8,92,90,6.71
141,Senador Jose Porfirio,BR,2020-11-23 21:42:48,-2.59,-51.95,78.37,86,28,5.12
142,Mount Gambier,AU,2020-11-23 21:42:48,-37.83,140.77,57.2,82,40,8.05
143,East London,ZA,2020-11-23 21:32:50,-33.02,27.91,69.03,81,58,3.42
144,Boyolangu,ID,2020-11-23 21:42:48,-8.12,111.89,75.97,87,100,2.89
145,San Patricio,US,2020-11-23 21:42:49,28.02,-97.52,75.2,69,75,12.75
146,Nuuk,GL,2020-11-23 21:42:49,64.18,-51.72,23.0,57,98,10.29
147,Faanui,PF,2020-11-23 21:33:41,-16.48,-151.75,81.05,77,68,9.42
148,Kindu,CD,2020-11-23 21:42:49,-2.95,25.95,71.44,98,100,2.77
149,Chuy,UY,2020-11-23 21:33:00,-33.7,-53.46,67.28,76,0,14.12
150,Lompoc,US,2020-11-23 21:31:31,34.64,-120.46,60.8,63,1,18.34
151,The Valley,AI,2020-11-23 21:32:56,18.22,-63.06,82.4,78,75,12.75
152,Ban Bung,TH,2020-11-23 21:42:49,18.31,100.7,68.74,92,3,1.77
153,Pilar,BR,2020-11-23 21:42:49,-9.6,-35.96,78.8,78,20,10.29
154,Atambua,ID,2020-11-23 21:42:50,-9.11,124.89,76.93,78,86,1.72
155,Bathsheba,BB,2020-11-23 21:42:50,13.22,-59.52,82.4,69,40,17.22
156,Esperance,AU,2020-11-23 21:32:57,-33.87,121.9,60.8,67,0,17.22
157,Codrington,AU,2020-11-23 21:33:22,-38.27,141.97,59.2,82,87,7.25
158,Bilibino,RU,2020-11-23 21:42:50,68.05,166.44,3.58,91,100,1.61
159,Xiongzhou,CN,2020-11-23 21:42:50,25.12,114.3,52.63,74,42,4.16
160,Atar,MR,2020-11-23 21:33:34,20.52,-13.05,73.53,19,77,12.77
161,Nouakchott,MR,2020-11-23 21:42:51,18.09,-15.98,80.6,18,90,10.29
162,Cordoba,AR,2020-11-23 21:40:02,-31.41,-64.18,99.0,23,0,20.8
163,Airai,TL,2020-11-23 21:33:05,-8.93,125.41,62.42,88,92,0.78
164,Ondangwa,NA,2020-11-23 21:42:51,-17.92,15.95,87.8,15,33,9.17
165,Mendoza,AR,2020-11-23 21:39:32,-32.89,-68.83,93.2,24,0,6.93
166,Strezhevoy,RU,2020-11-23 21:42:51,60.73,77.59,12.2,85,0,6.71
167,Iwaki,JP,2020-11-23 21:42:51,37.05,140.88,48.0,58,0,3.0
168,Lavrentiya,RU,2020-11-23 21:42:51,65.58,-171.0,26.6,93,9,2.42
169,Chernogorsk,RU,2020-11-23 21:40:15,53.82,91.28,26.6,79,40,8.95
170,Asau,RO,2020-11-23 21:33:36,46.43,26.4,39.2,93,40,1.12
171,Fairbanks,US,2020-11-23 21:32:54,64.84,-147.72,-4.0,76,40,1.12
172,Dale,US,2020-11-23 21:42:52,38.17,-86.99,51.01,66,20,3.2
173,Hervey Bay,AU,2020-11-23 21:42:52,-25.3,152.85,80.01,65,30,4.0
174,Arman,RU,2020-11-23 21:33:26,59.7,150.17,-0.89,84,8,9.35
175,Karratha,AU,2020-11-23 21:42:52,-20.74,116.85,79.93,60,51,6.98
176,Rabat,MA,2020-11-23 21:40:04,33.99,-6.84,59.0,93,95,3.36
177,Queimadas,BR,2020-11-23 21:42:52,-10.98,-39.63,77.23,70,42,10.38
178,Barrow,US,2020-11-23 21:33:04,71.29,-156.79,10.4,85,90,11.41
179,Kupino,RU,2020-11-23 21:42:52,54.37,77.3,12.61,97,96,2.62
180,Verkhneyarkeyevo,RU,2020-11-23 21:42:53,55.45,54.31,22.77,92,99,11.74
181,Pacifica,US,2020-11-23 21:42:53,37.61,-122.49,59.0,82,40,16.11
182,Ixtapa,MX,2020-11-23 21:33:31,20.7,-105.2,84.2,66,5,9.17
183,Aranos,NA,2020-11-23 21:42:53,-24.13,19.12,72.05,26,0,16.91
184,Harer,ET,2020-11-23 21:42:53,9.31,42.13,61.0,54,70,5.99
185,Mataura,NZ,2020-11-23 21:42:53,-46.19,168.86,55.99,84,65,1.39
186,Batemans Bay,AU,2020-11-23 21:42:53,-35.72,150.18,72.0,72,54,3.74
187,Leshukonskoye,RU,2020-11-23 21:42:53,64.9,45.76,28.17,94,98,11.48
188,Lashio,MM,2020-11-23 21:42:54,22.93,97.75,52.59,93,8,1.25
189,Praia,CV,2020-11-23 21:38:45,14.92,-23.51,78.8,54,75,5.82
190,Carnarvon,AU,2020-11-23 21:42:54,-24.87,113.63,71.6,100,0,8.05
191,Quatre Cocos,MU,2020-11-23 21:33:40,-20.21,57.76,73.99,94,75,4.7
192,Nizhniy Baskunchak,RU,2020-11-23 21:42:54,48.22,46.83,31.26,98,100,12.44
193,Mahebourg,MU,2020-11-23 21:42:54,-20.41,57.7,73.4,94,75,4.7
194,Sangin,AF,2020-11-23 21:42:54,32.07,64.84,49.69,66,100,1.07
195,Balad,IQ,2020-11-23 21:42:54,34.02,44.15,57.81,37,0,9.55
196,Nouadhibou,MR,2020-11-23 21:33:22,20.93,-17.03,78.8,44,100,6.93
197,Marawi,PH,2020-11-23 21:42:55,8.0,124.29,73.0,80,96,7.0
198,Portland,US,2020-11-23 21:32:55,45.52,-122.68,52.0,81,40,3.36
199,Nanortalik,GL,2020-11-23 21:42:55,60.14,-45.24,27.61,85,0,25.68
200,Kismayo,SO,2020-11-23 21:42:55,-0.36,42.55,79.72,84,56,10.6
201,Vadodara,IN,2020-11-23 21:42:55,22.3,73.2,67.44,41,0,2.93
202,Port Hueneme,US,2020-11-23 21:42:55,34.15,-119.2,66.2,59,40,16.11
