City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
523,Longyan,CN,61.43,overcast clouds,25.11,117.02,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
534,Riyadh,SA,73.4,clear sky,24.69,46.72,InterContinental Riyadh
538,Dehloran,IR,65.28,scattered clouds,32.69,47.27,کافه گیم استورم
539,Mithi,PK,72.0,clear sky,24.73,69.8,Jhapio
542,Pouebo,NC,74.53,scattered clouds,-20.4,164.57,
544,Katete,UG,68.07,scattered clouds,-0.78,29.75,
548,Jijiga,ET,67.55,moderate rain,9.35,42.8,RAMAAS HOTEL
553,Matamoros,MX,72.88,few clouds,25.53,-103.25,Recreativo Sabdy Briseidy
557,Jocotitlan,MX,63.99,clear sky,19.71,-99.79,HOTEL BUENAVISTA
558,Presidencia Roque Saenz Pena,AR,69.01,moderate rain,-26.79,-60.44,Hotel Aconcagua
562,Westport,US,60.01,overcast clouds,41.14,-73.36,Norwalk Inn
568,Nizwa,OM,64.54,clear sky,22.93,57.53,Orient Apartments
569,Bilma,NE,74.77,clear sky,18.69,12.92,Expeditions Ténére voyages
584,Hualmay,PE,69.39,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
589,Rio Gallegos,AR,62.6,clear sky,-51.62,-69.22,Hotel Santa Cruz
592,Port Lincoln,AU,63.52,heavy intensity rain,-34.73,135.87,Port Lincoln Hotel
597,Praia Da Vitoria,PT,62.6,broken clouds,38.73,-27.07,Hotel Branco I
600,Essex,US,64.0,broken clouds,40.78,-74.22,Ramada by Wyndham East Orange
601,Avera,US,66.2,moderate rain,33.19,-82.53,
605,Clarence Town,AU,70.0,overcast clouds,-32.58,151.78,River Downs Cottage
610,Villa Rica,US,64.99,broken clouds,33.73,-84.92,Days Inn by Wyndham Villa Rica
628,Huarmey,PE,69.6,broken clouds,-10.07,-78.15,Hotel Miramar
631,Comodoro Rivadavia,AR,66.2,clear sky,-45.87,-67.5,Austral Hotel
632,Baran,IN,63.54,clear sky,25.1,76.52,Hotel shri ji
633,Sulphur,US,64.4,broken clouds,30.24,-93.38,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
653,Ulladulla,AU,62.01,broken clouds,-35.35,150.47,Sandpiper Motel
656,Ismailia,EG,65.8,few clouds,30.6,32.27,Mercure Ismailia Forsan Island Hotel
659,Kwinana,AU,64.0,overcast clouds,-32.25,115.77,Rockingham Apartments
663,Laela,TZ,73.13,scattered clouds,-8.57,32.05,
665,Puerto Baquerizo Moreno,EC,73.4,light rain,-0.9,-89.6,Hotel los Algarrobos
672,Muros,ES,60.01,broken clouds,42.78,-9.06,Apartment Av. Castelao
674,Tacoronte,ES,64.99,broken clouds,28.48,-16.41,Haciendas del Valle - Casa San Miguel
677,Viedma,AR,66.99,clear sky,-40.81,-63.0,Hotel Cristal
679,Tando Muhammad Khan,PK,70.29,clear sky,25.12,68.54,AJ-Kumbhar's House
682,Bowen,AU,73.4,overcast clouds,-20.02,148.23,Castle Motor Lodge Motel
696,High Point,US,61.0,light intensity drizzle,35.96,-80.01,Red Lion Hotel
697,Japura,ID,74.75,moderate rain,-0.32,102.35,Rumah mbah Jamah
