City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
72,Chokurdakh,RU,70.63,147.92,9.95,95,100,15.59,overcast clouds
73,Saint-Philippe,RE,-21.36,55.77,75.2,83,66,13.87,broken clouds
74,Kingman,US,35.19,-114.05,42.01,58,1,10.29,clear sky
75,Cabo San Lucas,MX,22.89,-109.91,78.01,64,75,11.41,broken clouds
76,Smolensk,RU,55.0,33.0,37.94,92,100,9.75,overcast clouds
77,Vardo,NO,70.37,31.11,30.2,86,0,6.93,clear sky
78,Vaini,TO,-21.2,-175.2,77.0,83,75,10.29,broken clouds
79,Lata,PT,40.16,-8.33,60.01,73,100,11.99,overcast clouds
80,Castro,BR,-24.79,-50.01,81.86,49,25,7.99,scattered clouds
81,Conde,BR,-7.26,-34.91,86.0,62,75,17.22,broken clouds
82,Ushuaia,AR,-54.8,-68.3,46.4,65,75,20.8,drizzle
83,Palmer,US,42.16,-72.33,57.99,94,100,4.0,moderate rain
84,Scarborough,GB,54.28,-0.4,43.0,89,12,1.83,few clouds
85,Barrow,US,71.29,-156.79,8.6,78,90,25.28,light snow
86,Busselton,AU,-33.65,115.33,52.0,86,46,5.08,scattered clouds
87,Claremore,US,36.31,-95.62,48.0,75,1,6.93,clear sky
88,Saldanha,ZA,-33.01,17.94,69.8,49,0,21.92,clear sky
89,Dudinka,RU,69.41,86.18,14.0,92,75,17.9,light snow
90,Chizhou,CN,30.66,117.48,47.21,91,100,3.8,overcast clouds
91,Georgetown,MY,5.41,100.34,82.4,78,20,3.36,few clouds
92,Bredasdorp,ZA,-34.53,20.04,66.2,52,58,14.99,broken clouds
93,Marawi,PH,8.0,124.29,77.0,93,85,4.0,overcast clouds
94,Necochea,AR,-38.55,-58.74,66.99,52,0,20.8,clear sky
95,Mandali,IQ,33.75,45.55,65.12,43,0,10.47,clear sky
96,Diffa,NE,13.32,12.61,86.23,14,5,9.64,clear sky
97,Provideniya,RU,64.38,-173.3,23.74,91,20,4.79,light snow
98,Mehamn,NO,71.04,27.85,30.2,92,75,2.24,broken clouds
99,Uhlove,UA,44.82,33.6,46.65,65,0,6.17,clear sky
100,Nome,US,64.5,-165.41,28.4,92,90,3.36,overcast clouds
101,Isangel,VU,-19.55,169.27,76.95,82,82,5.14,broken clouds
102,Shelburne,CA,44.08,-80.2,45.0,100,100,10.33,overcast clouds
103,San Jeronimo,PE,-11.95,-75.28,64.8,32,78,1.68,broken clouds
104,Najran,SA,17.49,44.13,78.8,27,40,11.41,scattered clouds
105,Aldan,RU,58.6,125.39,-3.59,92,100,5.79,light snow
106,Pirapora,BR,-17.34,-44.94,83.23,51,51,7.43,broken clouds
107,Oranjemund,NA,-28.55,16.43,64.24,64,0,25.7,clear sky
108,Araouane,ML,18.9,-3.53,78.67,16,96,6.35,overcast clouds
109,Rocha,UY,-34.48,-54.33,72.36,46,3,16.71,clear sky
110,Fairbanks,US,64.84,-147.72,19.4,79,90,3.36,light snow
111,Itarema,BR,-2.92,-39.92,88.54,53,86,19.44,overcast clouds
112,Aktash,RU,50.3,87.73,-0.42,84,3,4.03,clear sky
113,Siauliai,LT,55.93,23.32,33.8,100,90,14.99,mist
114,Sao Joao Da Barra,BR,-21.64,-41.05,84.2,54,20,16.11,few clouds
115,Lasa,IT,46.62,10.7,41.0,56,5,2.24,clear sky
116,Grand Forks,US,47.94,-97.43,33.8,80,90,5.82,overcast clouds
117,San Cristobal,VE,7.77,-72.22,73.4,100,75,2.24,fog
118,Naze,JP,28.37,129.48,69.8,73,19,9.17,few clouds
119,Mao,ES,39.89,4.27,62.6,77,20,9.17,few clouds
120,Kushmurun,KZ,52.45,64.63,18.16,96,100,6.82,overcast clouds
121,Bambous Virieux,MU,-20.34,57.76,77.0,78,40,9.17,shower rain
122,Baykit,RU,61.67,96.37,6.24,91,99,2.26,overcast clouds
123,Lorengau,PG,-2.02,147.27,80.92,78,84,2.93,moderate rain
124,Saskylakh,RU,71.92,114.08,5.2,92,81,8.7,broken clouds
125,Kapaa,US,22.08,-159.32,73.4,94,90,8.05,moderate rain
126,Okhotsk,RU,59.38,143.3,-3.51,86,70,24.25,broken clouds
127,Marzuq,YE,14.4,46.47,67.95,66,2,6.67,clear sky
128,Khatanga,RU,71.97,102.5,11.52,96,98,12.55,overcast clouds
129,Gat,IL,31.61,34.76,59.0,100,12,2.93,light rain
130,Las Palmas,ES,28.42,-14.01,66.2,63,75,17.22,broken clouds
131,Pevek,RU,69.7,170.31,25.7,95,100,16.6,overcast clouds
132,Vao,NC,-22.67,167.48,73.58,79,44,9.91,scattered clouds
133,Zolotkovo,RU,55.53,41.11,29.3,95,100,7.11,overcast clouds
134,Port Elizabeth,ZA,-33.92,25.57,64.4,72,20,24.16,few clouds
135,Cape Town,ZA,-33.93,18.42,66.2,59,20,26.4,few clouds
136,Talnakh,RU,69.49,88.4,14.0,92,75,17.9,light snow
137,Filimonovo,RU,56.2,95.46,1.65,92,0,0.22,clear sky
138,Vanimo,PG,-2.67,141.3,79.34,81,90,2.39,moderate rain
139,Udachnyy,RU,66.42,112.4,1.4,84,0,4.47,clear sky
140,Price,US,39.6,-110.81,28.4,54,1,12.75,clear sky
141,Bandarbeyla,SO,9.49,50.81,76.3,77,0,15.46,clear sky
142,Anaco,VE,9.44,-64.47,84.09,70,63,7.45,light rain
143,The Valley,AI,18.22,-63.06,84.2,74,20,10.29,few clouds
144,Little Current,CA,45.98,-81.92,39.2,93,100,1.12,overcast clouds
145,Ponta Delgada,PT,37.73,-25.67,60.8,59,75,14.99,broken clouds
146,Pingshan,CN,22.99,114.71,73.99,76,0,1.01,clear sky
147,Pisco,PE,-13.7,-76.22,64.4,82,90,5.82,overcast clouds
148,Svetlyy,RU,54.67,20.13,35.6,93,90,11.18,light intensity drizzle
149,Umm Lajj,SA,25.02,37.27,74.77,57,0,17.34,clear sky
150,Shaowu,CN,27.34,117.48,52.34,85,86,3.04,overcast clouds
151,Narnaund,IN,29.22,76.15,63.97,45,0,8.28,clear sky
152,Khor,RU,47.89,134.95,12.09,87,0,13.51,clear sky
153,Hithadhoo,MV,-0.6,73.08,82.71,76,100,13.11,overcast clouds
154,Zhangjiakou,CN,40.81,114.88,18.99,83,39,8.1,scattered clouds
155,Porto Walter,BR,-8.27,-72.74,94.26,44,85,4.03,heavy intensity rain
156,Hamilton,US,39.18,-84.53,52.0,81,90,6.93,overcast clouds
157,Qaanaaq,GL,77.48,-69.36,-8.43,71,4,3.62,clear sky
158,Itaituba,BR,-4.28,-55.98,84.2,74,75,10.29,broken clouds
159,Malakal,SS,9.53,31.66,86.65,19,82,6.2,broken clouds
160,Sosnovo-Ozerskoye,RU,52.52,111.54,-0.47,92,25,5.21,scattered clouds
161,Keti Bandar,PK,24.14,67.45,71.02,38,0,18.05,clear sky
162,Sungaipenuh,ID,-2.08,101.38,66.2,97,100,2.37,light rain
163,East London,ZA,-33.02,27.91,68.0,60,0,21.92,clear sky
164,Wukari,NG,7.85,9.78,94.93,22,0,3.36,clear sky
165,Saint George,US,37.1,-113.58,39.99,47,1,6.93,clear sky
166,Tessalit,ML,20.2,1.01,83.35,12,87,10.83,overcast clouds
167,Biak,ID,-0.91,122.88,78.44,76,78,2.33,broken clouds
168,Whitehorse,CA,60.72,-135.05,30.2,58,5,17.22,clear sky
169,Maragogi,BR,-9.01,-35.22,82.2,67,29,14.2,scattered clouds
170,Fond Du Lac,US,43.77,-88.44,39.2,80,90,9.17,overcast clouds
171,Kruisfontein,ZA,-34.0,24.73,64.99,67,100,10.0,overcast clouds
172,Kalemie,CD,-5.95,29.19,75.07,72,54,2.71,broken clouds
173,Brasileia,BR,-11.02,-68.75,84.2,79,75,6.93,broken clouds
